Product,Agriculture,Forestry,Fishing,Coal  extraction,Oil and gas  extraction,Metal ores extraction,Other mining and quarrying,Meat processing,Fish and fruit processing,Oils and fats processing,Dairy products,Grain milling and starch,Animal feed,"Bread,  biscuits, etc",Sugar,Confectionery,Other food products,Alcoholic beverages,Soft drinks & mineral waters,Tobacco products,Textile fibres,Textile weaving,Textile finishing,Made-up textiles,Carpets and rugs,Other textiles,Knitted goods,Wearing apparel & fur products,Leather goods,Footwear,Wood and  wood products,"Pulp, paper and paperboard",Paper and paperboard products,Printing and publishing,"Coke ovens, refined petroleum & nuclear fuel",Industrial gases  and dyes,Inorganic chemicals,Organic chemicals,Fertilisers,Plastics & Synthetic resins etc,Pesticides,"Paints,  varnishes, printing ink etc",Pharma- ceuticals,Soap and toilet preparations,Other Chemical products,Man-made fibres,Rubber products,Plastic products,Glass and glass products,Ceramic goods,Structural clay products,"Cement, lime and plaster","Articles of  concrete,  stone etc",Iron and  steel,Non-ferrous metals,Metal castings,Structural metal products,Metal boilers & radiators,"Metal forging, pressing, etc","Cutlery, tools etc",Other Metal products,Mechanical power equipment,General purpose machinery,Agricultural machinery,Machine tools,Special purpose machinery,Weapons and ammunition,Domestic appliances nec,Office machinery & computers,Electric motors and generators etc,Insulated wire and cable,Electrical equipment nec,Electronic components,"Transmitters for TV, radio and phone",Receivers for TV and radio,Medical and precision  instruments,Motor vehicles,Shipbuilding and repair,Other transport equipment,Aircraft and spacecraft,Furniture,Jewellery & related products,Sports goods and toys,"Miscellaneous manufacturing nec, recycling",Electricity production & distribution,Gas distribution,Water supply,Construction,"Motor vehicle distribution & repair, fuel",Wholesale distribution,Retail distribution,"Hotels, catering, pubs etc",Railway transport,Other land transport,Water transport,Air Transport,Ancillary Transport services,Postal and courier services,Telecom- munications,Banking and finance,Insurance and pension funds  (pt),Auxiliary financial services,Owning and dealing in real estate,Letting of dwellings,Estate agent activities,Renting of machinery etc,Computer services,Research and development (pt),Legal activities,Accountancy services,"Market research, management consultancy",Architectural  activities &  Tech. Consult,Advertising,Other business services  (pt),Public administration & defence  (pt),Education  (pt) ,Health and veterinary services  (pt) ,Social work activities  (pt) ,Sewage and Sanitary services (pt),Membership organisations nec  (pt),Recreational services (pt),Other service activities (pt),Private Households with employed persons,GG -  Public administration & defence (115 pt),GG -  Education  (116 pt),GG -  Health and veterinary services  (117 pt),GG -  Social work activities  (118 pt),GG -  Sewage and Sanitary services (119 pt),GG -  Recreational services  (121 pt),NPISHs -  Insurance and pension funds (101 pt),NPISHs -  Research and development  (108 pt) ,NPISHs -  Other business services  (114 pt) ,NPISHs -  Education  (116 pt) ,NPISHs -  Health and veterinary services (117 pt) ,NPISHs -  Social work activities (118 pt) ,NPISHs -  Membership organisations nec (120 pt) ,NPISHs -  Recreational services  (121 pt) ,NPISHs -  Other service activities  (122 pt) ,FISIM
"Transmitters for TV, radio and phone",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,2,1,1,1,0,1,0,0,0,0,0,0,0,3,2,1,2,4,73,1,3,2,0,0,0,0,0,0,0,8,8,1,28,3,6,1,2,2,1,0,6,7,1,714,3,3,3,0,1,0,4,35,1,0,0,1,1,1,3,0,0,0,7,0,1,20,5,0,69,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0
Receivers for TV and radio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,21,231,0,39,0,0,0,0,0,0,0,0,0,0,1,5,3,4,0,0,6,0,0,0,0,8,0,0,0,0,1,0,2,15,1,1,0,0,1,0,1,0,0,0,1,0,0,21,1,0,44,17,0,1,1,2,0,0,0,0,0,1,0,2,0,0
Medical and precision instruments,2,0,3,28,1,0,10,6,3,1,3,1,2,4,2,3,2,4,2,0,1,1,1,0,1,1,2,3,0,1,6,1,1,3,2,23,7,28,2,25,8,7,32,15,8,11,2,8,5,3,3,3,8,47,14,13,7,16,15,3,17,15,17,1,1,0,2,9,89,28,3,14,30,9,9,314,131,37,2,99,3,1,0,1,28,94,5,59,32,22,4,2,2,3,0,6,9,1,106,3,3,3,1,1,0,6,43,2,0,0,1,31,3,5,0,1,417,3,0,2,17,1,0,426,25,527,3,2,1,0,0,0,1,28,2,1,2,0,0
Motor vehicles,5,1,0,35,4,0,32,15,3,0,10,2,9,10,1,2,3,4,3,1,1,2,2,1,1,2,3,7,0,2,18,6,7,24,5,7,1,3,0,4,1,2,3,2,4,1,3,15,5,3,4,4,15,32,2,5,10,3,13,1,6,10,14,190,1,1,0,1,2,5,0,4,2,2,1,3,2807,0,3,4,9,1,1,86,11,0,5,79,918,150,85,14,2,320,2,3,29,9,12,15,19,13,15,36,4,181,46,3,9,10,14,22,12,59,0,7,5,13,6,2,17,13,0,77,3,0,10,3,2,0,0,1,4,0,13,1,2,0,0
Shipbuilding and repair,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,242,1,34,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,1,0,0,687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other transport equipment,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,8,12,10,1,6,8,0,0,2,5,1,0,2,1,0,1,2,0,5,5,1,0,1,1,2,2,4,0,0,35,0,1,1,11,3,0,12,0,3,0,0,0,0,0,0,0,2,0,1,1,0,0
Aircraft and spacecraft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,7,0,0,694,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Furniture,7,2,0,0,0,0,0,2,1,0,1,1,1,2,0,1,1,1,1,0,0,1,1,0,1,0,2,7,0,2,1,1,1,5,0,6,1,6,1,5,1,1,5,3,2,2,0,1,3,2,1,2,7,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,2,2,1,1,2,72,0,16,1,397,0,0,0,3,2,1,153,18,24,53,55,4,11,1,1,7,4,8,13,17,8,5,11,2,25,11,2,29,8,9,14,5,50,0,58,30,16,1,5,49,5,0,204,83,4,12,1,15,0,0,1,30,2,15,3,4,0,0
Jewellery and related products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sports goods and toys,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Miscellaneous manufacturing nec & recycling,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,21,0,0,0,0,13,1,0,0,0,2,0,0,0,0,1,0,10,0,29,0,10,0,1,0,0,614,277,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,42,0,0,0,119,14,30,8,11,5,15,3,1,5,1,8,6,5,3,0,1,2,2,4,2,2,2,1,2,3,6,0,16,19,0,3,1,11,3,0,16,2,1,1,0,0,0,0,0,8,1,0,1,1,0,0
Electricity production and distribution,156,3,0,94,104,2,62,92,53,7,55,30,41,54,3,34,26,73,14,6,28,17,21,9,13,18,26,33,5,12,62,199,87,143,64,138,46,162,11,75,8,16,72,27,62,30,50,230,82,45,22,50,55,390,143,83,75,19,114,31,108,117,71,11,32,62,9,15,30,62,15,37,68,23,14,63,179,66,15,104,54,7,13,50,9787,26,185,143,91,192,358,138,123,98,9,40,54,31,87,103,79,64,6,15,4,67,85,21,15,19,16,37,14,79,0,48,218,6,36,8,75,17,0,334,149,20,29,6,33,0,1,1,25,15,6,5,7,0,0
Gas distribution,7,0,0,4,6,0,9,24,15,9,9,14,10,20,34,4,8,36,2,1,4,4,13,2,4,6,6,8,2,2,7,78,17,22,17,17,30,113,25,20,4,4,38,6,23,44,8,24,41,27,30,6,13,117,23,12,6,3,33,5,21,17,12,1,5,11,5,4,5,9,2,8,8,3,3,11,31,2,6,14,11,1,3,5,992,1890,1,19,27,34,46,41,14,20,5,10,13,5,11,21,15,7,1,3,1,16,8,5,5,3,4,12,5,16,0,11,108,2,6,2,16,6,0,150,103,9,26,2,14,0,0,0,6,7,2,1,1,0,0
Water supply,73,0,0,3,3,0,4,22,17,2,16,4,4,6,1,3,5,20,5,0,2,2,9,2,2,2,4,5,1,4,3,12,8,16,17,13,7,22,5,12,3,2,13,6,10,5,3,12,6,4,1,6,7,23,6,3,3,2,15,3,8,8,8,1,1,6,2,2,3,4,1,3,12,1,1,7,17,4,2,9,7,1,1,4,18,2,61,11,4,12,32,8,2,7,1,3,6,2,2,5,3,1,0,0,0,6,1,2,2,1,1,3,3,10,0,5,62,1,13,1,8,3,0,140,98,12,18,3,21,0,0,0,2,4,0,0,1,0,0
Construction,194,16,0,52,1051,0,20,26,12,2,16,12,9,29,5,22,14,15,11,3,1,4,2,2,2,1,7,13,0,8,19,16,12,85,99,25,2,27,2,21,2,6,23,15,7,8,9,24,8,5,3,5,20,47,9,21,12,6,0,1,9,10,18,5,3,13,0,2,5,9,2,11,13,6,2,15,19,14,1,24,31,5,3,4,30,34,156,21706,71,297,355,127,21,29,8,14,65,19,360,549,618,6,514,4720,23,29,2,5,12,23,48,81,20,202,0,24,168,2,19,15,93,16,0,3448,404,31,46,152,117,2,0,3,13,11,1,9,8,0,0
"Motor vehicle distribution and repair, automotive fuel retail",740,0,0,6,2,0,6,3,1,0,2,0,2,2,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,3,1,2,4,7,1,1,4,0,2,0,0,1,1,1,0,1,7,1,1,1,1,3,18,0,1,2,1,3,0,1,2,3,31,0,0,0,0,0,1,0,1,0,0,0,1,447,0,5,1,2,0,0,13,10,0,1,70,760,1112,413,213,297,969,63,150,219,100,88,255,235,26,41,97,11,685,345,16,96,62,31,83,26,141,0,143,73,2,20,16,135,99,0,185,47,6,53,18,5,1,1,2,75,5,2,9,12,2,0
Wholesale distribution,656,14,14,60,103,1,94,514,304,89,316,115,187,190,58,123,122,217,118,39,139,120,49,92,114,72,194,358,44,32,227,147,257,625,233,157,72,347,55,328,84,166,413,235,261,72,137,492,138,60,11,34,318,899,580,91,320,110,383,88,444,323,461,84,93,288,60,179,1277,318,138,352,342,509,509,591,1384,84,37,195,278,50,77,171,320,34,21,1919,177,300,308,338,48,184,19,29,75,26,282,160,156,43,10,23,7,40,42,13,34,16,22,24,29,84,0,84,366,33,40,17,209,35,0,655,182,633,41,11,57,0,1,1,44,24,32,10,19,1,0
Retail distribution,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,3,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hotels, catering, pubs etc",48,2,3,4,79,0,6,20,11,3,15,6,8,11,3,6,8,12,5,5,3,3,2,3,2,3,5,12,2,2,10,8,15,47,24,5,3,11,1,11,3,6,17,10,8,2,6,25,5,4,2,2,9,22,12,4,8,4,16,4,12,14,16,4,4,12,2,5,22,9,4,9,8,10,8,17,54,4,3,19,14,2,2,6,58,22,7,27,47,124,1073,83,33,55,0,0,79,21,51,156,118,35,9,22,1,2,43,2,7,20,23,56,25,127,0,34,81,6,0,11,96,5,0,287,21,14,37,1,4,1,0,2,28,9,8,10,13,0,0
Railway transport,10,1,0,8,105,0,23,4,2,5,11,4,0,2,4,0,2,10,0,5,1,1,3,1,1,2,4,9,2,1,1,7,10,61,39,7,6,10,3,8,1,2,7,2,13,0,1,17,4,10,3,8,23,103,5,7,1,2,16,3,13,9,6,2,4,5,2,2,13,12,1,11,7,5,3,30,55,3,9,4,4,1,3,7,2,1,0,51,79,220,57,49,102,13,7,7,1737,192,20,74,48,25,4,9,9,40,10,6,10,13,10,16,22,43,0,43,74,7,38,6,57,19,0,445,81,16,3,0,7,0,0,1,23,5,6,4,5,0,0
Other land transport,83,5,0,46,28,0,350,169,128,52,147,53,119,93,28,91,72,59,41,10,14,12,13,23,33,11,27,72,11,23,158,118,229,344,58,24,59,137,28,209,13,85,62,125,85,10,49,254,80,59,39,52,338,271,51,32,63,11,78,29,149,49,87,14,23,48,1,40,65,51,19,52,31,29,35,60,330,3,7,20,137,2,21,60,17,1,3,592,1163,5783,1321,379,83,992,17,39,578,241,136,401,455,45,13,30,20,317,93,13,79,76,49,161,63,183,0,95,405,7,31,9,95,64,0,286,228,69,64,84,3,1,1,2,49,27,7,5,9,2,0
Water transport,3,0,2,4,0,0,11,2,1,2,5,2,0,1,2,0,1,5,0,2,1,0,1,1,1,1,2,4,1,0,0,3,5,73,18,3,3,5,1,4,0,1,3,1,6,0,0,8,2,4,1,3,10,62,2,3,0,1,7,1,6,4,3,1,2,2,1,1,6,6,1,5,3,2,1,14,25,1,4,2,2,1,1,5,1,0,0,34,78,138,11,29,27,22,186,42,105,32,19,30,32,19,1,1,0,12,0,0,0,0,5,0,3,26,0,24,3,4,25,2,33,2,0,12,0,2,0,0,0,0,0,0,13,0,4,1,3,0,0
Air Transport,5,1,0,6,67,0,18,3,1,4,8,3,0,2,3,0,1,8,0,3,1,0,2,1,1,1,3,7,1,0,1,5,8,60,30,5,5,8,2,6,1,2,5,1,10,0,1,13,3,7,2,6,17,88,4,5,1,1,12,2,10,7,5,1,3,4,2,1,10,9,1,9,5,4,2,23,41,2,7,80,3,1,2,5,1,1,0,34,94,178,49,69,17,42,23,510,230,183,36,610,393,24,12,30,4,39,35,6,33,30,61,23,27,206,0,5,14,6,4,12,146,18,0,69,0,2,0,0,0,1,0,3,3,1,6,7,14,0,0
Ancillary Transport services,29,0,9,4,0,0,6,16,17,3,24,4,16,17,2,2,10,15,3,14,3,3,5,5,4,4,9,23,3,3,8,6,31,21,40,11,6,11,1,26,4,17,98,23,20,3,8,61,13,9,2,0,9,24,9,6,6,10,42,8,22,28,37,3,25,23,6,10,43,20,8,25,25,32,15,58,68,6,3,30,22,2,4,7,72,44,13,62,649,5242,652,306,2844,1428,536,524,5787,75,178,539,522,130,24,58,49,145,43,13,71,56,120,155,30,461,0,102,36,5,38,24,272,62,0,43,4,1,1,5,0,2,1,6,53,2,5,14,25,1,0
Postal and courier services,25,0,0,2,23,0,1,7,58,3,16,9,13,4,5,31,34,50,17,5,1,0,1,2,3,1,2,4,0,1,7,14,33,5,30,2,3,12,0,9,3,5,71,94,5,1,5,24,3,4,1,5,19,43,4,4,8,2,7,2,9,2,4,1,2,2,0,4,3,2,1,3,1,1,1,3,48,0,1,10,9,0,2,4,21,0,0,48,105,499,158,118,13,69,1,16,52,0,105,1514,1148,497,6,14,32,38,35,13,106,87,41,73,34,93,0,79,77,22,20,14,127,28,0,581,27,14,9,0,5,3,1,1,41,5,21,8,12,1,0
Telecommunications,151,1,0,5,46,0,13,16,8,1,9,6,22,8,1,8,12,8,5,3,2,3,3,5,5,2,6,18,2,5,12,4,18,119,10,9,0,18,1,13,1,13,39,28,16,0,7,57,9,9,2,2,11,11,6,3,17,7,15,10,14,20,44,7,3,13,2,9,33,25,3,31,9,40,9,44,59,3,4,15,23,1,6,11,43,45,7,171,228,935,301,347,42,183,32,90,322,92,870,1298,1352,873,36,87,130,120,194,14,152,92,411,139,117,403,0,80,322,10,24,34,366,93,0,808,72,33,41,3,15,4,1,5,41,21,10,20,33,2,0
Banking and finance,176,0,0,61,712,0,241,209,228,50,258,71,206,163,37,151,232,235,62,159,28,31,38,56,52,34,91,212,31,47,170,110,349,136,298,81,66,174,24,197,34,160,637,337,186,19,91,539,114,98,36,37,228,452,88,58,103,65,266,88,231,194,279,58,133,170,42,101,305,180,50,194,144,219,120,404,866,39,40,240,243,20,72,112,448,258,181,1521,926,2136,1824,701,79,563,124,275,1311,115,289,3361,3255,440,58,138,102,392,346,33,223,60,99,314,119,485,0,106,115,51,68,40,396,272,0,1119,0,1,0,0,0,3,1,2,19,3,17,8,13,2,0
Insurance and pension funds (pt),286,0,28,30,168,0,20,44,19,2,19,8,15,40,2,7,11,27,5,5,13,9,9,10,12,9,13,35,4,7,55,21,44,118,34,16,14,41,3,21,6,20,43,16,29,4,29,90,23,16,7,6,34,43,22,19,31,16,75,15,50,42,56,7,17,44,6,14,12,27,9,25,11,11,7,47,68,24,7,50,56,3,8,21,148,53,39,203,201,613,278,215,19,205,63,293,216,56,72,570,1929,69,204,528,14,112,264,8,41,48,52,46,32,158,0,36,253,7,33,6,138,56,0,359,85,19,88,51,11,6,0,2,19,17,7,4,13,1,0
Auxiliary financial services,3,0,0,2,0,0,6,1,1,1,3,1,0,1,1,0,1,3,0,1,0,0,1,0,0,1,1,3,1,0,0,2,3,9,11,2,0,3,1,2,0,1,3,1,4,0,0,4,1,3,1,2,6,37,1,2,0,1,2,1,4,3,2,0,1,2,1,1,4,4,1,3,2,2,1,9,7,1,2,1,1,0,1,3,1,1,0,67,12,57,63,6,4,13,23,32,15,3,20,810,1412,576,9,22,7,18,65,7,19,5,19,74,5,69,0,3,1,0,5,1,20,0,0,13,0,0,0,0,0,4,0,1,2,0,0,0,2,0,0
Owning and dealing in real estate,219,0,0,2,19,0,12,15,20,1,12,6,8,47,5,16,22,31,10,8,5,4,2,8,5,9,17,47,4,46,49,15,50,298,15,12,8,15,3,14,3,22,32,27,21,0,20,125,28,6,3,2,22,19,14,8,25,11,70,17,44,43,63,4,13,32,2,14,83,36,4,45,13,36,16,88,62,12,8,43,88,3,11,17,48,256,7,3156,262,2822,4593,355,38,274,129,221,405,103,256,848,1634,22,571,5,71,58,123,35,147,69,25,41,40,122,0,55,289,0,29,10,119,84,0,855,83,64,27,6,22,5,2,2,29,19,0,6,11,2,0
Letting of dwellings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estate agent activities,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,4,16,44,60,4,5,2,16,25,5,7,247,169,15,9,22,127,14,16,3,24,7,27,61,7,141,0,0,3,0,0,12,113,62,0,33,46,0,3,3,14,0,0,0,0,0,0,7,10,0,0
Renting of machinery etc,9,0,0,102,630,0,60,50,34,1,30,7,16,27,5,14,2,39,58,1,5,5,6,7,9,0,8,28,5,10,33,3,58,148,29,20,0,24,4,15,5,24,45,31,30,4,22,98,23,15,6,0,43,81,19,12,47,25,25,10,34,47,101,9,20,42,4,17,55,28,11,52,22,26,16,69,141,17,5,53,43,2,7,27,76,18,56,1852,200,107,39,15,747,389,0,15,283,23,19,32,125,18,5,13,6,269,38,9,24,12,16,18,10,67,0,16,198,2,7,8,79,55,0,55,265,33,24,91,8,0,0,1,8,13,2,5,7,1,0
Computer services,36,0,0,8,60,0,9,10,5,1,11,3,10,11,3,14,0,12,7,2,2,3,3,4,2,1,5,14,0,3,10,9,20,30,26,8,0,40,1,8,9,24,44,14,9,1,7,32,4,10,3,1,4,42,7,4,12,9,15,5,15,24,32,10,5,17,19,4,102,24,3,27,21,39,8,58,145,8,5,169,14,1,3,6,143,24,4,399,318,793,505,362,127,418,108,486,625,162,384,1132,681,353,60,142,74,89,281,28,84,101,143,365,87,516,0,312,240,15,62,43,407,149,0,348,112,22,33,2,26,2,1,7,162,16,14,25,37,4,0
Research and development (pt),42,0,0,3,0,0,0,11,12,2,16,2,10,11,2,1,0,10,2,9,2,2,3,3,3,2,6,16,2,2,6,0,21,6,27,7,0,8,1,18,3,12,66,15,14,2,6,18,9,6,1,0,6,21,6,4,4,6,0,5,15,19,25,2,17,16,4,6,0,13,6,7,17,0,10,4,35,4,0,32,13,1,3,4,41,30,8,163,11,33,76,27,55,60,25,28,74,16,25,86,72,6,9,12,6,7,0,107,16,12,58,19,42,308,0,213,360,3,256,18,168,0,0,427,0,122,0,0,0,0,6,4,111,24,2,10,15,0,0
Legal activities,567,0,0,1,530,0,2,5,6,1,8,1,5,5,1,1,1,5,1,4,1,1,2,2,1,1,3,6,1,1,3,2,10,9,13,3,0,4,0,8,1,6,32,7,7,1,3,19,4,3,1,0,3,12,3,2,2,3,4,3,7,9,12,1,8,8,2,3,14,6,3,2,8,10,5,12,22,2,1,10,3,1,1,2,20,14,4,351,153,468,129,90,31,117,38,53,95,16,35,632,668,79,53,125,90,249,392,15,536,169,127,334,98,384,0,13,178,12,20,12,139,162,0,35,1,208,0,0,0,2,1,5,7,12,11,7,13,4,0
Accountancy services,20,0,0,2,0,0,4,9,10,2,14,2,9,10,1,1,6,9,2,8,2,2,3,3,3,2,5,13,2,2,5,4,18,7,23,6,0,7,1,15,2,10,57,13,12,2,5,34,8,5,1,0,5,22,6,4,3,6,9,5,13,16,21,2,14,14,4,6,25,12,5,15,14,19,8,34,37,3,2,17,13,1,2,4,35,26,7,462,226,511,360,172,28,135,31,43,167,17,47,708,694,43,33,79,68,110,174,16,218,87,139,399,20,476,0,18,62,6,13,18,193,184,0,83,1,17,0,0,0,2,1,6,9,4,6,11,18,4,0
"Market research, management consultancy",15,0,0,2,3,0,0,17,35,2,42,158,40,22,2,93,127,263,119,61,1,2,3,8,5,6,17,34,4,10,9,4,29,147,10,4,0,5,1,3,3,17,93,177,22,0,10,44,7,9,2,0,12,5,5,2,8,5,0,15,13,10,17,14,11,10,3,17,0,17,1,10,2,23,15,24,357,2,4,10,25,4,20,16,15,8,1,271,123,120,665,107,26,53,14,51,126,22,48,383,372,24,30,70,8,41,147,9,41,0,538,120,149,1127,0,20,5,1,7,13,520,9,0,587,34,0,44,35,68,1,0,14,10,0,1,8,47,1,0
Architectural activities and technical consultancy,40,0,0,3,166,0,4,37,41,7,57,9,37,39,6,4,19,36,8,29,7,8,11,11,10,8,22,55,6,8,19,17,73,7,89,25,0,27,2,62,10,41,232,54,48,7,20,143,31,21,4,0,22,81,22,15,13,23,79,19,52,66,87,7,54,55,15,23,103,47,20,50,59,70,35,131,34,14,0,461,52,5,10,16,46,32,10,1287,233,257,237,153,30,99,30,18,227,36,83,399,473,25,76,180,140,223,477,25,97,98,185,576,100,1029,0,25,173,5,37,29,396,38,0,166,28,149,2,45,8,1,1,13,13,11,5,17,36,1,0
Advertising,70,0,0,4,6,0,6,47,52,9,66,43,74,42,4,68,0,88,53,120,2,4,7,16,10,10,26,54,7,17,17,8,51,338,18,7,0,9,2,6,5,33,175,335,38,0,16,84,14,17,5,3,22,9,10,3,15,9,15,29,24,19,33,27,21,19,7,32,27,32,2,16,4,53,29,50,104,5,6,19,45,8,37,26,29,16,1,358,281,642,760,323,107,289,0,87,197,81,190,897,940,70,36,141,75,307,504,7,101,49,219,292,2,348,0,47,81,26,25,72,665,105,0,199,3,14,2,1,7,3,0,4,25,5,25,42,61,2,0
Other business services (pt),43,2,9,2,50,0,0,58,63,4,51,3,19,68,3,9,0,17,27,16,4,4,6,6,5,0,12,2,0,9,25,0,39,1,108,13,0,23,1,34,5,22,203,63,26,12,10,0,17,26,2,0,10,28,12,8,52,12,0,24,26,36,46,4,31,30,8,23,0,57,11,30,32,0,19,72,0,58,0,79,23,3,14,47,88,47,9,960,426,764,657,453,98,559,62,137,610,120,136,755,1506,183,122,329,40,269,434,183,175,62,1479,515,1,4632,0,119,239,40,87,133,570,2,0,1575,418,238,189,559,188,4,10,58,62,16,38,78,54,0,0
Public administration and defence (pt),12,7,0,1,9,0,2,2,2,0,2,1,2,1,0,1,1,2,1,1,0,0,0,0,0,0,1,2,0,1,1,1,3,0,2,1,1,1,0,2,0,1,4,3,1,0,1,4,1,1,0,0,1,3,1,0,1,1,2,1,2,2,2,0,1,2,0,1,3,1,0,1,1,2,1,3,7,0,0,2,2,0,1,1,4,3,1,20,1,4,4,3,7,98,1,5,0,2,1,2,1,0,920,0,0,0,0,1,0,0,0,549,0,1,0,0,1,0,0,0,3,1,0,1,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Education (pt),17,0,0,2,0,0,3,7,8,1,11,2,7,7,1,1,4,7,1,7,1,1,1,2,2,2,4,9,1,1,3,3,14,2,19,5,3,5,0,12,2,8,36,10,9,1,4,26,6,4,1,0,4,15,4,3,2,4,19,4,9,12,16,1,12,13,3,4,19,8,4,10,10,14,6,25,30,3,2,13,10,1,2,2,27,22,6,58,20,86,74,85,21,42,0,44,104,48,130,394,264,32,20,48,17,7,127,127,213,154,58,146,62,185,0,477,162,23,41,19,196,60,0,1436,275,18,12,4,1,1,6,2,249,11,22,11,18,1,0
