Motor_vehicle_parts_dealers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Food_beverage_stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General_merchise_stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other_retail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790,0,430,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1790,6183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7972
Air_transportation,0,0,8,28,470,725,323,198,296,292,697,455,45,50,292,197,172,265,890,42,15,208,279,313,418,446,6960,173,50,78,366,237,23,303,1675,26,3,1015,67,721,412,1979,2248,5039,4736,400,395,453,9033,1127,1622,2655,7157,426,8277,615,833,3872,438,562,610,217,385,327,1305,1421,3914,1582,191,4214,76,85347,138971,0,0,0,0,0,47187,0,0,0,0,0,0,0,0,0,0,0,0,271505
Rail_transportation,0,0,0,0,0,101,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,75,8,10,0,35,0,84,0,4083,0,3,281,29,0,0,217,1,12,7,138,0,0,0,14,43,17,377,1,127,0,0,10,21,0,0,0,0,0,0,19,96,34,453,378,0,6679,1479,0,0,0,0,0,1366,0,0,0,0,0,0,0,0,0,0,0,0,9524
Water_transportation,0,0,0,0,0,10,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,24,11,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,13,0,0,824,71,22,8,247,8,45,0,11,5,0,0,0,41,1619,71,613,252,0,3927,24214,0,0,0,0,0,4565,0,0,0,0,0,0,0,0,0,0,0,0,32706
Truck_transportation,176,0,0,0,172,0,0,166,56,172,550,149,152,27,130,43,78,151,106,54,13,166,68,540,137,220,3035,1342,817,874,3105,687,114,74,4452,45,6,1962,78,122,54,5,225,0,0,15,3,0,0,90,74,34,1231,3,229,40,20,124,169,25,56,21,4,15,108,158,1016,12,271,280,16,24334,12595,0,0,0,0,0,1632,0,0,0,0,0,0,0,0,0,0,0,0,38561
Transit_ground_passenger_transportation,0,3,3,7,131,639,507,58,90,93,211,143,14,15,95,58,51,102,266,11,4,64,81,94,137,130,781,68,6,16,105,2,427,0,0,0,1,109,7,219,110,1148,919,2143,1499,700,115,542,3170,485,787,1030,4832,153,3424,172,372,1976,1658,766,160,1914,95,126,532,454,14,2,14,16437,461,50961,45355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96316
Pipeline_transportation,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,724
