Product,Agriculture,Forestry and fishing,Coal extraction etc,Extraction of oil and gas,Mineral oil processing,Electricity etc,Gas,Water,Extraction of metal ores etc,Iron and steel etc,Aluminium etc,Other non-ferrous metals,Extraction of stone etc,Clay products,Cement etc,Concrete etc,Glass,Refractory and ceramic goods,Inorganic chemicals,Organic chemicals,Fertilisers,Synthetic resins etc,"Paints, dyes etc",Special chemicals,Pharmaceuticals,Soap and toiletries,Chemical products nes,Man-made fibres,Metal castings etc,"Metal doors, windows etc",Metal packaging products,Metal goods nes,Industrial plant and steelwork,Agricultural machinery etc,Machine tools,Engineers small tools,Textile etc machinery,Processing machinery etc,Mining etc equipment,Mech power transmission equip,Other machinery etc,Ordnance etc,"Office machinery, computers etc",Insulated wires and cables,Basic electrical equipment,Industrial electrical equipment,Telecommunication etc equipment,Electronic components,Electronic consumers goods etc,Domestic electric appliances,Electric lighting equipment,Motor Vehicles and parts,Shipbuilding and repairing,Aerospace etc,Other vehicles,Instrument engineering,Oils and fats,Slaughtering and meat processing,Milk and milk products,"Fruit, veg and fish processing",Grain milling and starch,"Bread, biscuits etc",Sugar,Confectionery,Animal feeding stuffs,Miscellaneous foods,Alcoholic drink,Soft drinks,Tobacco,Woollen and worsted,Cotton etc spinning and weaving,Hosiery and other knitted goods,Textile finishing,Carpets etc,Jute etc,Leather and leather goods,Footwear,Clothing and furs,Household and other textiles,Timber and wood products,Wooden furniture etc,"Pulp, paper and board",Paper and board products,Printing and publishing,Rubber products,Processing of plastics,Other manufacturing,Construction,Distribution etc,"Hotels, catering etc",Railways,Road transport etc,Sea transport,Air transport,Transport services,Postal services,Telecommunications,Banking and finance,Insurance,Business services etc,Other services,Public administration etc,Adjusts,Total,Consumers' expenditure,GGFC,GDFCF,Stocks,Exports,TOTAL Final Demand,TOTAL
Rubber products,48.0,1.0,33.0,0.0,0.0,1.0,2.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,5.0,29.0,1.0,0.0,2.0,7.0,22.0,2.0,37.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,7.0,0.0,160.0,4.0,12.0,4.0,6.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,4.0,0.0,6.0,0.0,1.0,4.0,1.0,7.0,1.0,3.0,13.0,10.0,2.0,54.0,237.0,0.0,8.0,270.0,0.0,20.0,1.0,2.0,5.0,2.0,1.0,14.0,10.0,0.0,0.0,1105.0,105.0,43.0,0.0,4.0,536.0,688.0,1793.0
Processing of plastics,49.0,0.0,2.0,0.0,13.0,4.0,39.0,11.0,1.0,7.0,4.0,4.0,0.0,0.0,0.0,1.0,8.0,2.0,5.0,4.0,24.0,0.0,14.0,35.0,46.0,123.0,53.0,3.0,10.0,21.0,13.0,56.0,11.0,6.0,1.0,1.0,3.0,5.0,3.0,2.0,41.0,1.0,36.0,13.0,40.0,37.0,51.0,30.0,25.0,56.0,20.0,222.0,9.0,25.0,9.0,60.0,26.0,46.0,52.0,25.0,0.0,92.0,1.0,52.0,7.0,67.0,18.0,65.0,15.0,0.0,1.0,9.0,4.0,2.0,3.0,15.0,42.0,49.0,6.0,31.0,122.0,4.0,69.0,53.0,12.0,339.0,109.0,211.0,358.0,55.0,19.0,16.0,17.0,0.0,11.0,12.0,34.0,65.0,36.0,43.0,29.0,0.0,0.0,3497.0,101.0,60.0,0.0,40.0,886.0,1087.0,4583.0
Other manufacturing,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,26.0,61.0,200.0,23.0,13.0,68.0,4.0,0.0,85.0,1.0,3.0,185.0,105.0,92.0,127.0,0.0,0.0,1008.0,144.0,174.0,0.0,-27.0,814.0,1105.0,2114.0
Construction,106.0,13.0,0.0,0.0,0.0,16.0,6.0,10.0,0.0,17.0,5.0,3.0,0.0,1.0,2.0,17.0,5.0,3.0,2.0,8.0,2.0,3.0,6.0,5.0,7.0,2.0,2.0,0.0,14.0,4.0,1.0,13.0,5.0,1.0,1.0,2.0,2.0,3.0,9.0,2.0,13.0,12.0,6.0,3.0,3.0,5.0,20.0,9.0,0.0,1.0,2.0,21.0,12.0,14.0,1.0,4.0,2.0,6.0,3.0,3.0,2.0,8.0,2.0,3.0,3.0,5.0,55.0,1.0,2.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,10.0,1.0,13.0,10.0,5.0,12.0,56.0,4.0,8.0,5.0,8841.0,703.0,33.0,11.0,18.0,4.0,0.0,30.0,37.0,33.0,416.0,170.0,563.0,164.0,0.0,0.0,11682.0,2639.0,2562.0,26597.0,51.0,321.0,32168.0,43850.0
Distribution etc,362.0,15.0,105.0,92.0,53.0,398.0,49.0,20.0,2.0,468.0,63.0,67.0,11.0,10.0,25.0,130.0,30.0,15.0,27.0,126.0,48.0,52.0,67.0,52.0,76.0,42.0,15.0,24.0,179.0,30.0,88.0,162.0,167.0,87.0,42.0,20.0,60.0,61.0,215.0,51.0,320.0,49.0,126.0,33.0,115.0,53.0,241.0,80.0,69.0,52.0,24.0,599.0,79.0,158.0,44.0,70.0,33.0,181.0,129.0,57.0,42.0,69.0,23.0,57.0,89.0,95.0,139.0,40.0,29.0,59.0,72.0,66.0,14.0,31.0,20.0,13.0,9.0,74.0,25.0,80.0,96.0,44.0,129.0,159.0,63.0,101.0,70.0,874.0,1410.0,122.0,53.0,617.0,45.0,71.0,89.0,26.0,123.0,214.0,133.0,184.0,143.0,0.0,0.0,11927.0,34631.0,2297.0,1417.0,0.0,6174.0,44518.0,56445.0
"Hotels, catering etc",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,8.0,1.0,0.0,0.0,17.0,11392.0,872.0,0.0,0.0,1718.0,13982.0,13999.0
Railways,13.0,0.0,20.0,3.0,13.0,19.0,2.0,0.0,4.0,81.0,5.0,16.0,13.0,5.0,13.0,37.0,3.0,6.0,6.0,17.0,15.0,4.0,4.0,14.0,3.0,4.0,1.0,1.0,20.0,1.0,11.0,10.0,8.0,4.0,2.0,2.0,5.0,3.0,8.0,4.0,19.0,2.0,5.0,2.0,11.0,6.0,10.0,6.0,2.0,3.0,2.0,55.0,5.0,5.0,11.0,8.0,4.0,3.0,5.0,3.0,2.0,3.0,4.0,5.0,1.0,6.0,36.0,1.0,10.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,4.0,6.0,6.0,12.0,87.0,3.0,9.0,8.0,18.0,36.0,1.0,1.0,5.0,12.0,1.0,0.0,56.0,5.0,2.0,1.0,35.0,4.0,0.0,0.0,960.0,743.0,115.0,39.0,-2.0,302.0,1196.0,2156.0
Road transport etc,73.0,24.0,27.0,18.0,2.0,21.0,11.0,1.0,31.0,184.0,13.0,22.0,10.0,48.0,120.0,454.0,58.0,61.0,22.0,66.0,49.0,33.0,35.0,32.0,15.0,33.0,5.0,6.0,56.0,7.0,38.0,49.0,35.0,12.0,4.0,6.0,6.0,10.0,29.0,9.0,57.0,3.0,6.0,11.0,19.0,12.0,10.0,10.0,4.0,15.0,9.0,136.0,1.0,2.0,4.0,11.0,29.0,79.0,25.0,45.0,29.0,33.0,43.0,41.0,62.0,81.0,71.0,29.0,13.0,7.0,7.0,12.0,5.0,12.0,7.0,3.0,7.0,26.0,7.0,68.0,40.0,49.0,105.0,97.0,28.0,81.0,21.0,253.0,1791.0,15.0,12.0,85.0,4.0,1.0,5.0,2.0,4.0,0.0,0.0,90.0,13.0,0.0,0.0,5481.0,2225.0,242.0,459.0,-2.0,372.0,3296.0,8776.0
Sea transport,29.0,0.0,34.0,104.0,7.0,32.0,12.0,0.0,1.0,102.0,1.0,103.0,2.0,1.0,2.0,12.0,1.0,2.0,5.0,14.0,6.0,4.0,2.0,5.0,1.0,3.0,0.0,1.0,6.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,6.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,8.0,1.0,0.0,2.0,3.0,4.0,5.0,3.0,6.0,8.0,4.0,2.0,6.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,15.0,6.0,6.0,12.0,20.0,1.0,0.0,5.0,20.0,9.0,3.0,1.0,10.0,55.0,9.0,1.0,7.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,778.0,68.0,15.0,63.0,-39.0,2887.0,2994.0,3772.0
Air transport,22.0,0.0,16.0,100.0,28.0,46.0,7.0,0.0,1.0,53.0,2.0,42.0,3.0,2.0,3.0,13.0,2.0,2.0,4.0,14.0,6.0,5.0,3.0,8.0,3.0,3.0,1.0,1.0,7.0,1.0,3.0,4.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,3.0,3.0,5.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,7.0,10.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,5.0,6.0,12.0,30.0,3.0,6.0,5.0,47.0,312.0,5.0,2.0,9.0,5.0,171.0,17.0,48.0,18.0,145.0,107.0,59.0,9.0,0.0,0.0,1543.0,391.0,2.0,16.0,-6.0,2206.0,2609.0,4152.0
Transport services,47.0,17.0,6.0,446.0,96.0,18.0,12.0,5.0,1.0,9.0,2.0,4.0,3.0,2.0,0.0,10.0,6.0,4.0,3.0,9.0,2.0,5.0,9.0,11.0,24.0,18.0,3.0,3.0,11.0,3.0,2.0,14.0,10.0,3.0,3.0,3.0,6.0,7.0,10.0,4.0,27.0,2.0,7.0,3.0,9.0,8.0,23.0,11.0,7.0,6.0,3.0,35.0,5.0,17.0,3.0,9.0,1.0,10.0,7.0,10.0,3.0,9.0,1.0,13.0,10.0,26.0,86.0,3.0,19.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,8.0,2.0,7.0,11.0,4.0,18.0,53.0,7.0,15.0,8.0,140.0,380.0,30.0,16.0,96.0,708.0,296.0,445.0,8.0,10.0,236.0,124.0,79.0,21.0,0.0,0.0,3955.0,94.0,48.0,0.0,0.0,655.0,797.0,4752.0
Postal services,14.0,4.0,5.0,0.0,2.0,15.0,10.0,5.0,0.0,4.0,1.0,2.0,0.0,1.0,1.0,6.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,5.0,5.0,3.0,1.0,1.0,6.0,2.0,2.0,8.0,7.0,2.0,2.0,2.0,3.0,6.0,6.0,3.0,15.0,1.0,4.0,2.0,6.0,4.0,12.0,6.0,1.0,2.0,1.0,11.0,0.0,6.0,1.0,6.0,0.0,4.0,2.0,2.0,1.0,3.0,0.0,2.0,2.0,0.0,6.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,5.0,2.0,7.0,56.0,3.0,8.0,12.0,45.0,410.0,37.0,8.0,22.0,16.0,17.0,8.0,317.0,29.0,353.0,324.0,193.0,257.0,0.0,0.0,2396.0,323.0,130.0,0.0,0.0,189.0,642.0,3038.0
Telecommunications,48.0,8.0,11.0,0.0,3.0,33.0,21.0,10.0,0.0,9.0,2.0,4.0,1.0,2.0,1.0,13.0,4.0,4.0,2.0,5.0,3.0,4.0,8.0,10.0,11.0,6.0,2.0,1.0,13.0,4.0,4.0,17.0,15.0,3.0,5.0,5.0,7.0,14.0,14.0,6.0,33.0,2.0,10.0,3.0,12.0,9.0,27.0,13.0,3.0,4.0,3.0,25.0,0.0,14.0,2.0,12.0,1.0,9.0,5.0,5.0,1.0,6.0,1.0,5.0,5.0,1.0,14.0,3.0,3.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,11.0,3.0,13.0,11.0,4.0,16.0,122.0,7.0,17.0,26.0,101.0,968.0,58.0,18.0,40.0,19.0,23.0,12.0,19.0,71.0,597.0,437.0,278.0,541.0,0.0,0.0,3987.0,2378.0,341.0,0.0,0.0,428.0,3146.0,7133.0
Banking and finance,58.0,16.0,13.0,0.0,23.0,69.0,49.0,18.0,2.0,34.0,9.0,16.0,9.0,7.0,1.0,36.0,21.0,14.0,12.0,32.0,8.0,19.0,34.0,40.0,83.0,63.0,10.0,11.0,39.0,10.0,8.0,51.0,37.0,10.0,11.0,10.0,24.0,27.0,37.0,14.0,99.0,5.0,26.0,11.0,33.0,30.0,82.0,39.0,24.0,22.0,10.0,125.0,17.0,60.0,10.0,33.0,3.0,38.0,26.0,36.0,9.0,35.0,4.0,47.0,36.0,90.0,148.0,12.0,66.0,7.0,8.0,12.0,4.0,8.0,6.0,5.0,7.0,29.0,9.0,28.0,41.0,14.0,65.0,192.0,25.0,54.0,32.0,153.0,1384.0,53.0,6.0,117.0,27.0,6.0,19.0,5.0,31.0,836.0,859.0,254.0,210.0,0.0,13793.0,20450.0,241.0,182.0,0.0,0.0,1067.0,1490.0,21940.0
Insurance,85.0,12.0,6.0,5.0,4.0,33.0,3.0,5.0,2.0,24.0,3.0,20.0,4.0,3.0,2.0,15.0,5.0,5.0,5.0,16.0,4.0,7.0,10.0,12.0,14.0,4.0,1.0,1.0,20.0,3.0,5.0,17.0,22.0,2.0,4.0,4.0,6.0,9.0,13.0,5.0,31.0,1.0,4.0,5.0,12.0,5.0,17.0,8.0,2.0,3.0,3.0,23.0,16.0,30.0,2.0,8.0,2.0,11.0,3.0,4.0,3.0,9.0,3.0,4.0,6.0,6.0,20.0,2.0,7.0,6.0,5.0,5.0,3.0,3.0,3.0,2.0,2.0,10.0,2.0,20.0,14.0,10.0,17.0,30.0,9.0,18.0,9.0,31.0,310.0,16.0,6.0,81.0,25.0,34.0,2.0,0.0,12.0,682.0,262.0,107.0,51.0,0.0,0.0,2454.0,4824.0,100.0,13.0,-3.0,1015.0,5949.0,8403.0
Business services etc,243.0,13.0,69.0,9.0,108.0,201.0,105.0,53.0,5.0,128.0,22.0,48.0,22.0,18.0,6.0,129.0,51.0,32.0,28.0,90.0,27.0,51.0,80.0,92.0,172.0,134.0,23.0,22.0,109.0,29.0,31.0,136.0,117.0,26.0,26.0,28.0,54.0,97.0,95.0,36.0,252.0,13.0,77.0,35.0,79.0,77.0,213.0,112.0,53.0,45.0,26.0,292.0,44.0,167.0,22.0,87.0,7.0,110.0,77.0,83.0,20.0,98.0,15.0,102.0,72.0,180.0,292.0,33.0,132.0,15.0,18.0,29.0,11.0,20.0,15.0,10.0,21.0,72.0,19.0,83.0,111.0,38.0,159.0,484.0,68.0,158.0,83.0,3139.0,4849.0,216.0,39.0,159.0,8.0,5.0,1.0,43.0,107.0,1397.0,658.0,1773.0,783.0,0.0,0.0,20160.0,5118.0,886.0,2580.0,0.0,3016.0,11600.0,31760.0
Other services,413.0,47.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,4.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,6.0,1.0,2.0,1.0,625.0,768.0,424.0,30.0,168.0,1.0,0.0,3.0,6.0,31.0,949.0,927.0,391.0,201.0,0.0,0.0,5063.0,5925.0,2089.0,0.0,0.0,1082.0,9096.0,14159.0
Public administration etc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23229.0,44193.0,0.0,0.0,0.0,67422.0,67422.0
Total intermediate,8374.0,391.0,1418.0,2656.0,8881.0,6691.0,2846.0,414.0,120.0,4131.0,535.0,839.0,119.0,232.0,419.0,2047.0,557.0,400.0,483.0,2332.0,577.0,916.0,975.0,1183.0,1220.0,1015.0,320.0,313.0,1560.0,372.0,829.0,1582.0,1452.0,611.0,318.0,231.0,515.0,657.0,1496.0,402.0,2932.0,455.0,906.0,471.0,991.0,658.0,2045.0,789.0,662.0,634.0,279.0,4710.0,915.0,1825.0,318.0,793.0,787.0,4607.0,2908.0,1120.0,951.0,1486.0,598.0,1208.0,1941.0,1810.0,2996.0,592.0,561.0,523.0,366.0,559.0,171.0,344.0,212.0,343.0,293.0,1171.0,288.0,1240.0,1208.0,815.0,1720.0,3622.0,670.0,1873.0,789.0,23357.0,22228.0,3990.0,915.0,3143.0,1216.0,1507.0,1446.0,816.0,1613.0,7937.0,5277.0,5597.0,3601.0,0.0,13793.0,214018.0,135493.0,65890.0,44496.0,-626.0,87752.0,333005.0,547023.0
Imports of goods & services,1088.0,2.0,160.0,1215.0,4529.0,2136.0,1452.0,36.0,26.0,979.0,430.0,817.0,15.0,28.0,24.0,296.0,113.0,81.0,242.0,1096.0,190.0,465.0,425.0,679.0,392.0,294.0,233.0,220.0,358.0,85.0,169.0,372.0,324.0,121.0,69.0,40.0,131.0,101.0,243.0,74.0,599.0,116.0,573.0,304.0,360.0,206.0,1038.0,458.0,314.0,127.0,81.0,2105.0,131.0,1429.0,105.0,200.0,368.0,455.0,419.0,234.0,195.0,378.0,160.0,301.0,371.0,753.0,280.0,161.0,319.0,446.0,381.0,332.0,48.0,166.0,124.0,141.0,159.0,766.0,209.0,578.0,474.0,500.0,1071.0,1035.0,406.0,946.0,447.0,1764.0,933.0,813.0,76.0,16.0,1836.0,1157.0,19.0,44.0,237.0,891.0,121.0,197.0,124.0,0.0,0.0,48744.0,25647.0,4891.0,10891.0,737.0,1948.0,44114.0,92858.0
Sales by final demand,9.0,6.0,9.0,12.0,12.0,1.0,5.0,2.0,1.0,385.0,159.0,279.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,3.0,15.0,2.0,2.0,3.0,4.0,10.0,1.0,1.0,0.0,15.0,0.0,5.0,2.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,177.0,1.0,0.0,3.0,0.0,29.0,118.0,88.0,18.0,35.0,12.0,12.0,44.0,4.0,9.0,11.0,18.0,12.0,40.0,118.0,0.0,0.0,1838.0,3762.0,-4591.0,-2498.0,-1.0,1490.0,-1838.0,0.0
Taxes on expend. Less subsidies,-654.0,15.0,-1800.0,-10.0,30.0,344.0,168.0,107.0,12.0,141.0,25.0,27.0,19.0,26.0,19.0,194.0,44.0,23.0,57.0,75.0,96.0,36.0,59.0,69.0,43.0,25.0,16.0,15.0,76.0,12.0,17.0,63.0,45.0,14.0,13.0,12.0,21.0,33.0,45.0,20.0,104.0,12.0,50.0,18.0,41.0,29.0,66.0,31.0,17.0,18.0,12.0,178.0,26.0,66.0,16.0,28.0,-38.0,-76.0,-114.0,-13.0,20.0,64.0,-55.0,23.0,-39.0,65.0,314.0,20.0,18.0,25.0,20.0,25.0,17.0,13.0,11.0,12.0,12.0,58.0,12.0,59.0,56.0,33.0,74.0,118.0,42.0,71.0,32.0,443.0,2523.0,518.0,-903.0,29.0,63.0,77.0,247.0,141.0,440.0,354.0,302.0,1359.0,503.0,0.0,0.0,7274.0,31011.0,3697.0,2218.0,7.0,776.0,37709.0,44983.0
Income from employment,1385.0,231.0,1333.0,486.0,292.0,2215.0,1214.0,524.0,71.0,1364.0,202.0,335.0,70.0,197.0,139.0,891.0,430.0,419.0,212.0,492.0,203.0,249.0,483.0,622.0,805.0,314.0,183.0,153.0,1321.0,207.0,329.0,1248.0,1116.0,246.0,267.0,330.0,415.0,666.0,894.0,447.0,2220.0,294.0,538.0,325.0,1006.0,569.0,2031.0,834.0,213.0,326.0,226.0,3147.0,1002.0,2004.0,369.0,761.0,78.0,829.0,407.0,356.0,105.0,1022.0,111.0,492.0,261.0,585.0,714.0,173.0,395.0,318.0,268.0,536.0,187.0,176.0,185.0,148.0,366.0,1261.0,183.0,798.0,905.0,370.0,1273.0,3714.0,683.0,1262.0,597.0,9115.0,18848.0,6057.0,1810.0,3393.0,535.0,844.0,2473.0,1896.0,2723.0,5513.0,2421.0,14564.0,6195.0,46046.0,0.0,180053.0,0.0,0.0,0.0,0.0,0.0,0.0,180053.0
Gross profits etc,4507.0,99.0,985.0,19095.0,1154.0,1339.0,1356.0,613.0,66.0,296.0,61.0,90.0,91.0,119.0,173.0,553.0,126.0,125.0,140.0,588.0,120.0,172.0,241.0,681.0,804.0,292.0,49.0,52.0,168.0,79.0,50.0,229.0,182.0,91.0,34.0,46.0,55.0,259.0,162.0,53.0,422.0,46.0,525.0,139.0,233.0,148.0,691.0,428.0,43.0,95.0,65.0,435.0,28.0,97.0,20.0,205.0,69.0,368.0,340.0,114.0,91.0,266.0,68.0,169.0,159.0,446.0,747.0,169.0,312.0,105.0,63.0,91.0,27.0,33.0,44.0,32.0,71.0,245.0,32.0,97.0,116.0,69.0,237.0,927.0,132.0,404.0,197.0,7949.0,8203.0,2738.0,236.0,1905.0,117.0,551.0,593.0,139.0,2542.0,7604.0,284.0,10262.0,3676.0,21376.0,-18342.0,95085.0,0.0,0.0,0.0,0.0,0.0,0.0,95085.0
Total inputs,14709.0,744.0,2105.0,23455.0,14898.0,12726.0,7040.0,1697.0,296.0,7295.0,1411.0,2387.0,316.0,603.0,775.0,3982.0,1270.0,1049.0,1132.0,4583.0,1185.0,1840.0,2191.0,3233.0,3265.0,1940.0,801.0,755.0,3582.0,756.0,1397.0,3510.0,3121.0,1086.0,705.0,664.0,1147.0,1718.0,2842.0,996.0,6292.0,922.0,2596.0,1260.0,2633.0,1611.0,5877.0,2540.0,1248.0,1200.0,662.0,10576.0,2108.0,5422.0,829.0,1987.0,1263.0,6183.0,3961.0,1811.0,1363.0,3216.0,881.0,2192.0,2692.0,3659.0,5051.0,1117.0,1604.0,1418.0,1099.0,1543.0,450.0,731.0,577.0,677.0,900.0,3501.0,724.0,2774.0,2761.0,1964.0,4375.0,9415.0,1936.0,4556.0,2092.0,42745.0,52823.0,14134.0,2169.0,8498.0,3778.0,4179.0,4782.0,3045.0,7565.0,22316.0,8417.0,32019.0,14216.0,67422.0,-4549.0,547012.0,195912.0,69887.0,55107.0,117.0,91966.0,412990.0,960002.0
